disID,titre
0,BONJOUR
1,Politique
2,La sanction d'un Etat pour violation des droits de l'homme
3,meet
4,Restrictions.
5,Hello my name is Aksanti kabuzi ...
6,introduction aux droits humains
7,Bonjour
8,Droit à la vie
9,Bonjour à toutes et tous... y hola a los hispanohablantes!
10,La violation du droit international humanitaire en periode de conflict
11,L'homme peut il être le destinataire de droits de l'homme?
12,niveau de difficulté de l'examen
13,Questions de l'Introduction
14,Le droit de l'homme dans les pays pauvres
15,La reconnaissance juridique des droits de l'homme au niveau national
16,La Violence sexuelle chez la femme comme arme de guerre en Afrique subsaharienne.
17,violation des droits de l homme par les autorites locales
18,Le principe de subsidiarite de DH
19,droits de l'homme et droits fondamentaux
20,"l'égalité n'est pas garantie à tout les égards,"
21,déficit démocratique et droits de l'homme
22,droits de l'homme dans certains Etats
23,La déclaration universelle  de droits de l'homme
24,autres classifications que celles de Vasak ?
25,DE LA PROTECTION NATIONALE ET DE LA PROTECTION INTERNATIONALE
26,Cordial saludo
27,"Le Gouvernement congolais venait d'expulser LINDA SAWYER, activite de Droits de l'Homme  et membre de Human Right watch"
28,Request - Reclamation
29,Peut-on considérer que les animaux ou la nature ont des droits intrinsèques ?
30,EVALUATION DES DROITS DE L'HOMME.
31,titulaire et destinataire des D H
32,LES CRITIQUES GENERATIONELLES
33,comment peut-on s'en passer des conventions internationales dans la legislation locale
34,L'homme peut il être destinataire de droits de l'homme?
35,Prise de contact
36,Question sur la Violation de Constitution
37,Le Droit de l'Homme contribue aussi à la  promotion de la liberté de Religion?
38,"droit humanitaire, droit de l'homme, droit pénal international: quel lien familal ?"
39,Les mécanismes de controle contentieux et non contentieux du respect des droits de l'homme
40,Introduction aux droits de l'homme
41,"Sources de droit de l,homme"
42,Présentation
43,Les droits de l'homme et droit penal international
44,Félicitations
45,bonjour je m’appelle  Brahim
46,Salut!
47,Universalite et indivisibilité des droits de l'homme.
48,Héritier Ilunga
49,password
50,Droits de l'homme
51,présentation
52,copie électronique
53,Quiz?
54,Salut
55,obtention du certificat
