msgID,autID,disID,theID,ts,texte
0,0,0,4,2017-10-09 08:36:57,"Merci Maria 
 Je vous souhaite une bonne Journee"
1,1,1,4,2017-07-21 07:00:58,"Aujourd'hui, certains Chefs d’état africains changent la constitution pour s'éterniser au pouvoir, situation qu'ils peuvent, peut-être, justifier par le droit coutumier de leur pays (en Afrique, on est chef à vie); d'aucuns disent aussi que c'est par peur d’être jugé un jour pour leur mauvaise gouvernance qu'ils prennent une telle position 
 Alors que cette vision des choses ne concorde pas du tout à aucune des normes juridiques internationales selon l'évolution actuelle des droits de l'homme 
 Le comportement de ces chefs d'état et de leur gouvernement est du mépris envers leurs citoyens qui ne cessent de les dénoncer 
 Rien ne leur garantit ce statut éternel puisqu'ils peuvent être renversés en tout moment 
 Ma question est la suivante: quel traitement peut- il être réservé à un Chef d'état de cette catégorie qui de lui même décide de quitter le pouvoir 
 Y a t-il une disposition qui lui garantit la protection 
 Sera t-il incarcéré, jugé 
 Le président Campaoré du Burkina quand à lui a été chassé par la force du peuple, et donc mérite d'un jour à l'autre le jugement 
 Qu'en est-il du président qui quitte à volonté"
2,2,2,4,2016-11-04 12:24:09,"Il me parait logique de sanctionner tous acteurs qui s'engagent dans la violation de droits de l'homme sans aucune exception 
 Il est imperatif de pousser les destinataires de droits de l'homme au respect inconditioonnel de droits de l'homme 
 Nous devons,bref en faire une culture interorisable par tous et pour tous 
 Il est logique que tous les Etats du monde sans clivage Sud- Nord de veiller au respect intrinseque de droits de l'homme car il est toutes les cultures doivent se sentir concernees"
3,3,3,4,2016-03-29 12:46:26,"J ai oublié de vous donner plus d'information sur ma carrière, j'ai 28 ans ,  marocaine et j'habite à rabat ,je suis titulaire d'une licence en droit public ,études internationales , et un master en droits de l'Homme et libertés publiques, et  je suis membre de l'organisation marocaine des droits humain  depuis que j'avais 18 ans , dont j ai travaillé sur plusieurs aspect a savoir les droits des enfants, des prisonniers, des réfugiés 
 Et je suis tres attachée aux études sur le droit international humanitaire"
4,4,4,4,2017-07-21 06:28:47,"En ce qui concerne les restrictions sur certains droits de l'homme, l'État entend mener aucune restriction 
 Pour quelle agence doit informer ou de demander la permission d'exécuter une telle restriction 
 Et dans quelles circonstances ces restrictions et la restriction maximale de séjour temporaire peut demander?\n\nRemarque: il a été difficile pour moi de comprendre quelques idées à cause de la traduction 
 Je suis mexicain et je considère traduire perdre le sens de l'idée"
5,5,5,4,2016-11-29 20:57:59,"Salut 
 Je suis Cynthia Tello; je suis née en Mexique, mais j´habite aux Etats Unis 
 Je fais ""marketing and market research"" dans mon travail, mais je suis tres intéressée de connaître en peu plus des Droites Humaines"
6,6,6,4,2017-07-21 07:25:22,"Je m'apelle Ana Maria, je suis professeur d'université en Colombie 
 Je m'interesse beacoup á tout ce qui concerne les droits humains 
 Je fais du bénévolat dans mon pays et je suis vraiment inquiete pour tous les problemes au niveau des droits fundamentaux qui son violés en Colombie 
 Je souhaite aider depuis mon travail comme professeur pour changer la mentalité des personnes au sujet de la dignité humain et bien sur motiver les autres de donner plus de soi meme a la societe 
 Mercie pour votre attention"
7,7,7,4,2016-03-20 17:48:54,"La peine de mort, au moins à mon avis, ne devrait pas exister, tout pays civilisé ne peut pas se permettre de l'espace pour exécuter une personne, est paradoxale Quie là et, comme vous le dites, est contarpone précisément le droit à la vie, ils sont de ces questions que la justice ne donne toujours pas des formes claires dans la réalité, mais si je devais décider d'exécuter ou d'enregistrer un homme, je préfère l'idée de le sauver 
 Fernando Contreras"
8,8,8,4,2017-07-31 13:35:04,Merci et bon courage
9,9,9,4,2016-08-05 11:14:11,"Bonjour SALIMA, c'est vraiment un cri de cœur que je partage entièrement avec toi, parce que la réalité est triste 
 Les droits humanitaires sont violés en période de conflit armé"
10,10,10,4,2016-12-14 00:38:34,"Il est certes vrai que l'État est le destinataire originel des droits de l'homme contre qui l'on peut intenté une action au niveau international 
 Et ceci se justifie du fait du monopole de contrainte qu'il détient 
 Mais spécialement, un individu peut être tenu pour responsable des violation des droits de l'homme et par ricochet ce voire destinataire de ces droits dans le cas ou il a moment où ces violations ont été commises détenu le monopole de la force dans l'espace concernée 
 C'est le cas des chefs de guerre congolais poursuivis par la cpi"
11,11,11,4,2016-05-31 13:20:05,"Moi aussi c'est mon premier cours MOCC et je trouve le cour plus facile que je croyais 
 As-tu déjà étudié en droit ou en politique"
12,12,12,4,2017-07-21 04:07:09,"Bonjour à tous, Dans la vidéo troductoire à cette semaine, la professeure Hertig pose les questions suivantes que nous serons capables de répondre à la fin de la deuxième semaine du cours: "" En quoi une charte internationale des droits de\nl'homme a-t-elle dérangé la pensée orthodoxe au point de la faire paraître\nutopique 
 Comment se fait-il que ce projet ait quand même pu être réalisé?\nL'a-t-il été entièrement ou partiellement 
 """
13,13,13,4,2016-11-04 22:51:06,"J’abonde dans le même sens de presque tous les intervenants avant moi sur l’existence et la protection des droits de l’homme dans les pays pauvres 
 Je tiens seulement à signaler qu’en constatant le dynamisme socio-économique à l’échelle internationale, il y a vraiment de quoi à dire qu’encore aujourd’hui, il règne une matérialisation palpable d’un colonialisme et darwinisme social déguisés malgré le fait qu’ils sont des contre-courants aux droits de l’homme 
 En dépit de l’existence d’une constitution universelle de droits de l’homme, maintes fois recadrée d’ailleurs, il existe toujours ce rapport de force entre pays plus avancés et d’autres considérés comme des pays pauvres 
 Les pays pauvres,  malheureusement, subissent  à prix fort les conséquences de ce rapport de force d’ordre mondial"
14,14,13,4,2016-11-04 19:05:44,"Je souhaiterai répondre a cette\nquestion en la situant sous un autre angle : celui des luttes d’influences\ngéopolitiques entre états riches vis a vis des états pauvres, du\nnon respects des droits humains par les multinationales préoccupées\npar  leurs seuls profits, voir même celui de l'ONU prenant 6 ans\npour reconnaître sa responsabilité dans l’introduction du choléra\nen Haïti et décider de véritables mesures réparatrices, … 
 Quand\non sait pourquoi les pays  dits pauvres le sont, ne devrait on pas\ns'interroger sur une action internationale sincère pour contribuer\nau respect des droits fondamentaux des hommes de notre Terre "
