msgID,autID,disID,theID,ts,texte
0,0,0,4,2017-12-05 22:51:06,"Might it be that we would be assuming (among probably other things) that the other companies (or sectors) are not overvalued 
 In this case, an example of uncomfortable using of multiples-based methods would be when prices are increasing maybe too much too fast 
 E 
 G 
 Housing market on times of the bubble"
1,1,1,4,2018-02-21 11:19:06,"Letting Lehman fail helped to offset this bad incentive (but very expensive) 
   Too big to fail and the separation of ""normal"" and ""casino"" banking was a big theme at the time but has now lost profile, issue needs to be concluded 
 Moral hazard argument is an excuse for the hawks in central banks to sit on their hands 
 Need to consider this point in the light of alternative scenarios for recovering the economy 
 What are these alternatives?"
2,2,2,4,2016-10-10 18:12:59,"To use ratios efficiently, both variables (in this case, price and earnings), must be representative of the real price and the real earnings of the entity analised 
 Earnings, for example, can be highly volatile 
 For example, the sale of an asset - a building for example - at a very good price, can generate a one-off that will artificially increase the earnings of the company even though they could be incurring in losses in their main activity (for example, insuring) 
  I would not feel comfortable using these kind of methods n these scenarios:if information about all the entities is not audited by third, believable parties,if the entities were not in the same development stage, if there is no historical data to assume that variables are representative of the real, true financial state of the company."
3,3,3,4,2017-03-02 10:04:42,"We assume that the market in general (or on average) makes no mistakes 
 An instance in history where I wouldn't have felt comfortable using the multiple-based valuation method would be, for example, during the tulip bulb bubble in the Netherlands 
 While a normal house may be worth around 2 tulip bulbs at the time (using the multipe-based valuation method), the intrinsic value of a house is, of course, higher"
4,4,4,4,2017-01-31 17:02:08,"I believe that it was a necessary measure at the time to brace against further collapse of the financial system 
 In order to combat the issue of bad incentives, the government should enact stricter regulation over banks' lending policies"
5,5,5,4,2017-07-17 17:15:03,"Big brother no one to question sovereign standards thrown to wind  
  Who can stop  
  But they do prevented the Great Depression which could have sunk the world along"
6,6,6,4,2018-03-07 22:22:57,"When using multiple-based valuation we assume that different companies will behave the similarly in the future which does not have to be the case 
 We assume that they are in the simmilar phase of development and thath their growth will be simmilar in the future 
 But many things might go wrong along the way so we cannot just look on multiples and base our conclusions only on those"
7,7,7,4,2016-03-20 12:13:31,"The Ebitda states formula to EV-Debt / No of shares 
 ( but here was EV X mutiple / No of shares"
8,8,8,4,2016-10-07 20:36:10,"I would put as much gold as to insure my basic needs for a certain period of time in case of a black swan event 
 This would rather be a small part of the portfolio, 5-10%, variying in time"
9,9,9,4,2016-03-29 15:13:59,"Initially I thought it was a reward for bad behavior, but at the same time necessary 
 However, in light of the requirements of the Too Big To Fail requirement for systemically important banks, I believe that the US government, as well as other governments, are actually pulling on the reins of these banks and will reduce reckless behavior"
10,10,10,4,2018-05-27 04:20:47,"TARP was required as a policy but greater scrutiny of the banks, ensuring more transparency in the balance sheets and limiting new hybrid products which by their fundamental nature are complex and have risks of being blown to exponential levels  impacting normal customers"
11,11,11,4,2016-02-18 15:54:03,"Thank you Jonas 
 See you in the next courses 
 I really enjoy this course 
 Cheers."
12,12,12,4,2017-10-19 09:13:19,Some firms may offer false information about the cash flow
13,7,13,4,2016-03-25 02:22:40,"My boss is running out of south africa losing alot of fx in usd vs r 
 He said the mines are shutting 
 So there comes a thought i wanna buy in with the cheapest prices in creating my new property company portfolio"
14,13,14,4,2016-12-07 16:56:13,"It's better to answer this depending on the current state of the market 
 If it's an emerging market, as we have seen, it tends to be riskier, so it's better to have a larger portion for gold 
 If it's a stable market, we can safely go for more of equities and bonds rather than gold"
15,14,15,4,2016-03-24 17:00:19,For companies reporting loss it is recommended to use EBITDA multiples
16,15,16,4,2018-03-07 03:34:39,I would look for a trade off  between gold and equity so that i can secure my portfolio even when there are extreme events
17,16,17,4,2017-09-05 00:17:48,It's hard to find companies that are really comparable
18,17,18,4,2016-02-28 05:30:39,"Negative earnings creates a negative PE ratio, thus it is not always possible to use a PE ratio"
19,18,19,4,2016-04-29 09:39:53,"One interesting feature about how advanced economies went about solving the crisis is that it was the unelected bodies, notably the central banks, who actually saved the collective of all economies from meltdown, not the elected governments or parliaments 
 It is difficult to avoid the forbidden thought that perhaps the elected governments are in fact more powerless to act upon a globalised ensemble of  finance-driven economies than we are led to believe 
 In an ironic twist of the post-Keynesian, post-Steagall Act era, the US decisively turned its previous economic orthodoxy on its head and went full-on for printing money, something that the ECB did only belatedly and with reluctance from some EU members 
 Was this bailout necessary 
 Undoubtedly 
 Did it remove the incentive for exessive risk-taking attitude in certain parts of the financial industry 
 Current pricing of assets suggests otherwise 
 Did it essentially signal that banking really is about privatizing profits and socializing losses 
 I have not seen compelling evidence to the contrary 
 Does it all validate Minsky's now almost forgotten analysis of the systemic risks inherent to a finance-driven type of economic system 
 Or Galbraith's warning of using debt to fuel speculation 
 I do hope not. We are running a colossal amount of debt in our financial system, which will only abate to manageable levels if we inflate it away 
 Alas, this is ideological anathema for current orthodox economic thinking, and you will run out of patience sooner than some ideologues can run out of arguments to prove they continue to be right"
20,19,20,4,2016-09-11 20:22:57,"Since gold, like other investments, fluctuates in value, it is not feasible to keep a large portfolio of gold 
 If the value of gold is based on US currency, and the US dollar loses value, an investor technically can not sell his gold in the US markets until the dollar stabilizes"
21,20,21,4,2016-02-26 11:05:53,"Sure 
 I think the example given in the video was just simple so we could easily catch the concept"
22,21,22,4,2016-02-27 03:30:34,I would rather have 50% in gold
23,22,7,4,2016-03-20 21:14:24,"Firms used to compared could be over or under valued as well, specially if they are part of the same industry that could be under the same market and or economic turbulence"
24,23,23,4,2017-08-18 00:06:33,"A business and finance student here 
 Keen to develop my knowledge on financial markets and this course seems to be right one *fingers crossed* 
  Hoping to work with you all"
25,24,24,4,2016-04-19 13:55:59,The more important thing is that how to monitor the banks so that their greed or earning money motivation will not go to far
26,25,25,4,2016-04-29 09:37:32,"IMO, the most prudent assumption is the every company Is facing the same set of conditions at different front  ie skill of managers and employee,  competitive landscape etc and everyone is trying to engage same strategy "
27,26,26,4,2016-05-21 23:53:49,Do you have examples on that to see real cases
28,27,27,4,2017-02-18 15:52:02,"Assumption is that company will exist for a longer period, does not take into account default event"
29,28,18,4,2016-02-20 14:19:16,"Indeed there were instanced when multiple-based valuations were not accurate at all such us during the tech bubble of 1999 
 Furthermore companies who are reporting losses may well be trading at an overvalued price however such companies may have tremendous good will as investors see medium and long term potential growth in earnings"
30,29,28,4,2017-09-14 20:32:43,"Hi Pranav,  Great question 
 In general short is riskier than long because your potential losses are unlimited whereas if you are long, your risk is limited to your initial investment 
 For example, if you are short a stock and it goes up a lot, you could potentially lose not only your initial investment, but you could owe more because the stock price could go up infinitely 
 Whereas, with a long position, the lowest a stock can go to is zero at which point you'd lose your initial investment, but wouldn't owe anything more 
 Hope that helps"
