disID,titre
0,Why not always use multiples-based valuation methods?
1,Do governments give bad incentives to banks?
2,"Why not always use multiples-based valuation methods? - October 03, 2016"
3,"Why not always use multiples-based valuation methods? - February 27, 2017"
4,"Do governments give bad incentives to banks? - January 09, 2017"
5,"Do governments give bad incentives to banks? - July 03, 2017"
6,Why not always use multiples-based valuation methods?
7,"Why not always use multiples-based valuation methods? - March 07, 2016"
8,"How much gold would you put in your portfolio? - September 19, 2016"
9,"Do governments give bad incentives to banks? - March 07, 2016"
10,"Do governments give bad incentives to banks? - May 21, 2018"
11,Certificate
12,Why not always use multiples-based valuation methods?
13,Inflation in Zimbabwe
14,"How much gold would you put in your portfolio? - November 21, 2016"
15,"Why not always use multiples-based valuation methods? - March 21, 2016"
16,How much gold would you put in your portfolio?
17,Why not always use multiples-based valuation methods?
18,"Why not always use multiples-based valuation methods? - February 09, 2016"
19,"Do governments give bad incentives to banks? - April 04, 2016"
20,"How much gold would you put in your portfolio? - August 08, 2016"
21,Leverage
22,"How much gold would you put in your portfolio? - February 09, 2016"
23,Hello from London!
24,"Do governments give bad incentives to banks? - March 21, 2016"
25,"Why not always use multiples-based valuation methods? - April 18, 2016"
26,expensive when price falls but P/E ratio rises
27,"Why not always use multiples-based valuation methods? - February 06, 2017"
28,short or long
29,"Why not always use multiples-based valuation methods? - June 27, 2016"
30,"Do governments give bad incentives to banks? - September 19, 2016"
31,"Do governments give bad incentives to banks? - October 03, 2016"
32,I'm so lost
33,"Why not always use multiples-based valuation methods? - July 03, 2017"
34,"Do governments give bad incentives to banks? - February 22, 2016"
35,"Why not always use multiples-based valuation methods? - October 17, 2016"
36,"How much gold would you put in your portfolio? - March 21, 2016"
37,Do governments give bad incentives to banks?
38,Do governments give bad incentives to banks?
39,hello from samuel
40,"Hello everybody,"
41,"Do governments give bad incentives to banks? - May 01, 2017"
42,things I noticed in week one
43,"Why not always use multiples-based valuation methods? - April 16, 2018"
44,"Why not always use multiples-based valuation methods? - April 04, 2016"
45,"Why not always use multiples-based valuation methods? - May 08, 2017"
46,"Do governments give bad incentives to banks? - February 27, 2017"
47,Basics: Data stream & buying stocks
48,Why not always use multiples-based valuation methods?
49,Do governments give bad incentives to banks?
50,"How much gold would you put in your portfolio? - July 16, 2018"
51,Hi everyone.. Good evening from Ghana
52,"How much gold would you put in your portfolio? - May 16, 2016"
53,HI
54,Do governments give bad incentives to banks?
55,Quiz 2 NOT FAIR!!!
56,Why not always use multiples-based valuation methods?
57,"How much gold would you put in your portfolio? - December 26, 2016"
58,first quiz
59,"How much gold would you put in your portfolio? - April 04, 2016"
60,"Why not always use multiples-based valuation methods? - June 19, 2017"
61,Why not always use multiples-based valuation methods?
62,"Do governments give bad incentives to banks? - July 16, 2018"
63,"Why not always use multiples-based valuation methods? - June 12, 2017"
64,"Why not always use multiples-based valuation methods? - December 12, 2016"
65,"How much gold would you put in your portfolio? - May 28, 2018"
66,Percentage quiz
67,"How much gold would you put in your portfolio? - August 20, 2018"
68,How much gold would you put in your portfolio?
69,How much gold would you put in your portfolio?
70,"How much gold would you put in your portfolio? - May 21, 2018"
71,is there a video explaining each of the terminology?
72,Why not always use multiples-based valuation methods?
73,How much gold would you put in your portfolio?
74,"Why not always use multiples-based valuation methods? - August 13, 2018"
75,"How much gold would you put in your portfolio? - March 13, 2017"
76,"How much gold would you put in your portfolio? - September 17, 2018"
77,"Do governments give bad incentives to banks? - June 27, 2016"
78,Default by governments
79,"Why not always use multiples-based valuation methods? - July 09, 2018"
80,"Why not always use multiples-based valuation methods? - July 11, 2016"
81,Hello everyone!
82,"Do governments give bad incentives to banks? - September 05, 2016"
83,"How much gold would you put in your portfolio? - October 04, 2018"
84,"How much gold would you put in your portfolio? - November 28, 2016"
85,"Why not always use multiples-based valuation methods? - June 26, 2017"
86,Why not always use multiples-based valuation methods?
87,accessing the <Meeting Investors' Goals> course
88,Key Concept #1 - average vs last performance
89,Big Mac is subject to currency fluctuations too right?
90,Why not always use multiples-based valuation methods?
91,Boom Bust Cycle
92,Do governments give bad incentives to banks?
93,"How much gold would you put in your portfolio? - July 23, 2018"
94,"How much gold would you put in your portfolio? - December 19, 2016"
95,"How much gold would you put in your portfolio? - March 06, 2017"
96,"Why not always use multiples-based valuation methods? - July 16, 2018"
97,"How much gold would you put in your portfolio? - July 11, 2016"
98,"Do governments give bad incentives to banks? - October 17, 2016"
99,"Do governments give bad incentives to banks? - August 22, 2016"
100,What does return / risk of a Country refer to?
101,Greetings
102,hello from Colombia
103,"How much gold would you put in your portfolio? - June 26, 2017"
104,WHere to  get the slides for these videos
105,"How much gold would you put in your portfolio? - July 30, 2018"
106,where does the 1742 come from
107,Do governments give bad incentives to banks?
108,"Why not always use multiples-based valuation methods? - May 16, 2016"
109,"Why not always use multiples-based valuation methods? - April 10, 2017"
110,Why not always use multiples-based valuation methods?
111,How much gold would you put in your portfolio?
112,"Why not always use multiples-based valuation methods? - September 19, 2016"
113,How much gold would you put in your portfolio?
114,Hi from Sao Paulo Brazil
115,"Do governments give bad incentives to banks? - October 01, 2018"
116,"Why not always use multiples-based valuation methods? - June 13, 2016"
117,"Do governments give bad incentives to banks? - May 16, 2016"
118,How much gold would you put in your portfolio?
119,"Do governments give bad incentives to banks? - October 24, 2016"
120,"Do governments give bad incentives to banks? - June 19, 2017"
121,How much gold would you put in your portfolio?
122,Do governments give bad incentives to banks?
123,Why not always use multiples-based valuation methods?
124,"Do governments give bad incentives to banks? - July 25, 2016"
125,"Hello from Portland, OR, USA"
126,"How much gold would you put in your portfolio? - June 13, 2016"
127,portfolio manager
128,How much gold would you put in your portfolio?
129,"Why not always use multiples-based valuation methods? - March 06, 2017"
130,Do governments give bad incentives to banks?
131,"Why not always use multiples-based valuation methods? - May 22, 2017"
132,How much gold would you put in your portfolio?
133,Introduction about myself
134,"Why not always use multiples-based valuation methods? - February 22, 2016"
135,Sustainable and impact invesment
136,reference
137,"Why not always use multiples-based valuation methods? - February 13, 2017"
