msgID,autID,disID,theID,ts,texte
3279,2329,178,4,2016-05-11 12:51:43,Unnecessary
6814,3663,24,4,2016-04-19 15:42:27,I'm much more worried about the bad incentives this action produced
5896,62,935,4,2016-02-02 17:30:39,"Lorric, Dave  As per Beta testing instructions, the e-mail to be in contact in case of need:  Please do not hesitate to reach out to us by emailing   if you need any further guidance or had a question not covered in the document"
6547,3143,423,4,2017-04-08 03:14:01,"In DCF of course there are a lot of assumptions 
 However, in the multiples based valuation, we also assume that the company we are evaluating is going to do exactly the same as the comparable one. There is one industry, but there is no identical twin company in the industry"
7354,3776,1156,0,2018-07-28 16:36:59,"Suppose the correct Terminal Value is 6000 million USD (i.e 
 Discard your answer to the previous question), what is the price of 1 share of XYZ using the Discounted Cash Flow (DCF) valuation method 
 Please give your answer in USD and round it to the nearest integer 
 For example, if your answer is 17 USD, then type in ""17"""
6783,1179,556,4,2017-07-16 06:07:10,I would just purchase a small amount of gold and let it sat alone on my portfolio for a while
8619,173,356,2,2016-07-30 23:31:26,Relatively small
2882,2118,99,4,2016-09-17 09:43:26,"I think it was necessary 
 While the government's bailout may encourage reckless lending, many of the US's most successful industries (examples include tech startups in Silicon Valley) are high risk and reliant on borrowing 
 Leaving these troubled assets in banks' balance sheet would've also driven consumption down, slowing the economy further 
 While bailouts may not be the best option in other economies, the USA is what some would call ""too big to fail"""
7812,707,1212,0,2017-07-21 02:25:07,"Will Warren Buffett's selection of the Vanguard S&P 500 beat a selection of hedge funds 
 Origination of the bet:        Warren Buffett quote 
 “The hedge fund managers have done very well over that period,” Mr Buffett said, noting that, on a notional $1bn portfolio, they would have made $20m in management fees “just for coming to the office 
 The investors in the hedge funds have paid a very big price.”"
3025,2205,60,4,2017-07-08 15:41:02,"One should only value the companies comparable in terms of size of assets, debt, investment grade, etc"
5263,3165,450,4,2018-11-07 10:28:23,"Using a multiple or ratio for evaluation purpose expects that the multiple is based on profound market research, which requires a quality selection of the peer used and more importantly actual data 
 In times of market turmoil or situations with a high uncertainty (e.g 
 Financial crisis in 2008), using a multiple-based valuation method can be cumbersome and error prone 
 A quality multiple integrates positive and negative earnings"
3551,2478,36,4,2016-04-09 16:48:08,"I would have a significant part (~20%) of my investments parked in gold 
 Gold being a natural hedge to various other asset classes as discussed in the previous lectures, I believe, it is imperative for one to make gold a part of ones portfolio"
