msgID,texte
1847,"\n\n\n    What could that assumption be 
 The assumption is that all peer companies should be valued at a similar level 
 If there were to be an asset overvaluation, this would inflate horizontally to all companies in this asset class (i.e 
 The valuation peers)      Were there instances in history where you would not have felt comfortable using multiple-based valuation methods to value companies 
 Emerging markets (almost any time), periods of asset inflation (now, pre-2008, 1999 etc.)\n    What about companies that just reported a loss (i.e 
 Negative earnings) 
  Not use multiples valuation or change multiples (i.e 
 For real estate negative earnings means almost nothing) 
 \n"
2988,"What if the constant growth rate is higher than the average cost of capital 
 That would give a negative terminal value, but I assume that is not the case"
5539,"We chose multiple that reflect company with the same sector, the same risk"
5785,"I think it was necessary at the time 
 I am concerned about some of the potential consequences, but I feel that if it was allowed to reach even lower points, it'd take significantly longer for the economy to grow, and that too would hurt lower-income people a lot more"
7952,"Really many people make this kind of mistake, another very common is to think that a discount of 10% + 10% + 10% in a table results in 30%, when it represents 27.10%"
3127,"First of all, the ratio applied seems to be incredibly arbitrary 
 The dotcom bubble showed ridiculous multiples until the market finally woke up and realized that there was nothing like that kind of value in the companies 
 Also, it obviously doesn't work in instances in which companies are loss making, particularly those entering new sectors 
 Amazon lost an incredible amount of money before becoming top companies in the world"
3505,"I would not put large part of my portfolio invested in gold 
 Since other financial instruments (derivatives, etc.) can be used for some of my risks, I will use limited amount of gold 
 Focusing on using insurance and derivatives for most risks (most of the portfolio) and use gold for low probability but high impact risk events is better"
4168,"Cash 
 Insured savings account 
 Insured CDs. US Treasury bonds 
 But ""very, very, unlikely"" would be a better term than ""never"" lose your principal 
 You get very little return on assets that have essentially no risk 
 You will also be losing purchasing power to inflation 
 The $1000 you invest today would not buy the same quantity of goods 30 years from now"
1638,"I think that the bailout was necessary for the survival of the economy 
 If the government had not done this, the crisis would have left an even greater impact on the economy that may have been irreversible"
1971,I hope to joint the course
4962,"Personally, I have mixed feelings about this 
 However, I must stress the fact that I do agree when people and corporations are taking unnecessary risk to generate and accumulate wealth for themselves, they should pay the consequences (High Reward = High Risk) 
  If the government is to provide ""bail-out"" solutions (using the public money), what is the incentive for these people to stop taking the unnecessary risk 
 The problem here is the US government (in this case) is trying to manipulate the mechanism of the ""invisible hand"" by providing exit solutions to those impacted 
 The US government bailout programmes can ultimately cause issues with the National debt level, speed up the next bubble economy, and perhaps from the ethical point of view where inequality is obvious in the US but the government rather spend money to bail out the elite class"
