year,month,average
1958,4,317.45
1958,6,-99.99
1958,8,314.93
1958,10,-99.99
1958,12,314.67
1959,2,316.38
1959,4,317.72
1959,6,318.15
1959,8,314.80
1959,10,313.26
1959,12,315.58
1960,2,316.97
1960,4,319.02
1960,6,319.59
1960,8,315.91
1960,10,313.83
1960,12,316.19
1961,2,317.70
1961,4,319.48
1961,6,319.77
1961,8,316.79
1961,10,315.38
1961,12,317.01
1962,2,318.56
1962,4,320.63
1962,6,320.55
1962,8,317.40
1962,10,315.42
1962,12,317.69
1963,2,319.08
1963,4,321.39
1963,6,321.47
1963,8,317.77
1963,10,315.99
1963,12,318.31
1964,2,-99.99
1964,4,-99.99
1964,6,321.89
1964,8,318.70
1964,10,316.79
1964,12,318.71
1965,2,320.44
1965,4,322.13
1965,6,321.87
1965,8,318.81
1965,10,317.30
1965,12,319.42
1966,2,321.59
1966,4,323.87
1966,6,323.75
1966,8,320.37
1966,10,318.10
1966,12,321.08
1967,2,322.50
1967,4,324.42
1967,6,324.09
1967,8,320.92
1967,10,319.31
1967,12,321.96
1968,2,323.15
1968,4,325.02
1968,6,325.36
1968,8,322.03
1968,10,320.25
1968,12,322.84
1969,2,324.42
1969,4,326.66
1969,6,326.76
1969,8,323.67
1969,10,321.78
1969,12,324.11
1970,2,325.99
1970,4,328.13
1970,6,327.66
1970,8,324.69
1970,10,323.16
1970,12,325.13
1971,2,326.68
1971,4,327.78
1971,6,328.57
1971,8,325.46
1971,10,323.57
1971,12,326.01
1972,2,327.63
1972,4,329.72
1972,6,329.09
1972,8,326.32
1972,10,325.06
1972,12,327.55
1973,2,329.56
1973,4,331.50
1973,6,332.07
1973,8,329.31
1973,10,327.18
1973,12,328.64
1974,2,330.71
1974,4,332.65
1974,6,332.16
1974,8,329.12
1974,10,327.28
1974,12,329.58
1975,2,331.46
1975,4,333.17
1975,6,333.45
1975,8,329.95
1975,10,328.35
1975,12,-99.99
1976,2,332.75
1976,4,334.64
1976,6,334.00
1976,8,330.68
1976,10,328.75
1976,12,331.62
1977,2,333.13
1977,4,336.13
1977,6,336.16
1977,8,332.56
1977,10,331.27
1977,12,333.60
1978,2,335.25
1978,4,337.69
1978,6,338.01
1978,8,334.41
1978,10,332.41
1978,12,334.90
1979,2,336.69
1979,4,338.95
1979,6,339.26
1979,8,335.75
1979,10,334.19
1979,12,336.81
1980,2,338.34
1980,4,340.93
1980,6,341.33
1980,8,337.70
1980,10,336.15
1980,12,338.32
1981,2,340.55
1981,4,342.53
1981,6,342.54
1981,8,338.44
1981,10,337.08
1981,12,339.88
1982,2,341.73
1982,4,343.97
1982,6,343.79
1982,8,340.09
1982,10,338.29
1982,12,340.90
1983,2,342.90
1983,4,345.25
1983,6,345.63
1983,8,342.27
1983,10,340.38
1983,12,343.05
1984,2,344.79
1984,4,-99.99
1984,6,346.97
1984,8,343.55
1984,10,341.67
1984,12,344.70
1985,2,346.16
1985,4,348.34
1985,6,348.38
1985,8,345.02
1985,10,343.13
1985,12,345.88
1986,2,347.28
1986,4,349.77
1986,6,349.93
1986,8,346.08
1986,10,344.51
1986,12,347.22
1987,2,348.73
1987,4,351.31
1987,6,351.53
1987,8,348.08
1987,10,346.59
1987,12,349.16
1988,2,351.64
1988,4,353.69
1988,6,353.72
1988,8,350.40
1988,10,349.13
1988,12,351.41
1989,2,353.27
1989,4,355.64
1989,6,355.37
1989,8,351.81
1989,10,350.25
1989,12,352.85
1990,2,355.04
1990,4,356.32
1990,6,356.34
1990,8,353.01
1990,10,351.62
1990,12,354.33
1991,2,355.73
1991,4,358.66
1991,6,358.13
1991,8,353.85
1991,10,352.35
1991,12,355.12
1992,2,357.11
1992,4,359.09
1992,6,359.33
1992,8,354.94
1992,10,353.32
1992,12,355.57
1993,2,357.31
1993,4,359.27
1993,6,359.52
1993,8,355.64
1993,10,354.12
1993,12,356.91
1994,2,358.92
1994,4,361.23
1994,6,360.81
1994,8,357.46
1994,10,356.07
1994,12,358.98
1995,2,360.86
1995,4,363.30
1995,6,363.19
1995,8,359.12
1995,10,357.99
1995,12,360.68
1996,2,363.24
1996,4,364.57
1996,6,364.92
1996,8,361.38
1996,10,359.58
1996,12,362.24
1997,2,364.03
1997,4,366.35
1997,6,365.59
1997,8,362.25
1997,10,360.82
1997,12,364.38
1998,2,365.98
1998,4,368.66
1998,6,368.99
1998,8,365.95
1998,10,364.40
1998,12,367.13
1999,2,369.07
1999,4,370.99
1999,6,370.30
1999,8,366.90
1999,10,365.37
1999,12,368.10
2000,2,369.54
2000,4,371.81
2000,6,371.70
2000,8,368.13
2000,10,367.03
2000,12,369.67
2001,2,371.51
2001,4,373.37
2001,6,373.21
2001,8,369.61
2001,10,368.45
2001,12,371.24
2002,2,373.20
2002,4,375.02
2002,6,375.52
2002,8,371.85
2002,10,370.55
2002,12,373.79
2003,2,375.64
2003,4,377.73
2003,6,378.28
2003,8,374.38
2003,10,373.14
